company,year,electricity_gwh,it_load_gwh,water_litres,water_consumed_litres,pue,wue,cue,co2_tons,renewable_pledged_pct,renewable_actual_pct,queries_million,region,facility_count,energy_waste_pct,energy_wasted_gwh,renewable_gap_pct,co2_per_gwh,water_per_million_queries,water_per_query_ml
Google,2015,7.81,6.99,1858291968,1080046220,1.119,266.0,393.701,3076671,37,34,811.2,Europe,15,10.634495084897228,0.8199999999999994,3,393939.9487836108,2290793.846153846,2290.793846153846
Google,2016,9.04,8.13,2070690052,1214180159,1.113,254.845,294.5228,2663697,44,40,900.4,Europe,17,10.152740341419586,0.9099999999999984,4,294656.7477876106,2299744.615726344,2299.744615726344
Google,2017,9.49,8.55,2143575418,1304213297,1.11,250.733,273.4351,2594650,56,50,1074.7,Europe,19,9.909909909909919,0.9399999999999995,6,273408.85142255004,1994580.2717037313,1994.5802717037313
Google,2018,10.68,9.58,2348720224,1570079339,1.114,245.09,226.7284,2420469,67,58,1280.6,North America,21,10.23339317773789,1.0999999999999996,9,226635.67415730338,1834077.9509604874,1834.0779509604872
Google,2019,12.77,11.52,2747123118,1577968526,1.108,238.386,190.4309,2431927,73,61,1509.6,Asia-Pacific,23,9.747292418772572,1.25,12,190440.64212999216,1819768.8910969794,1819.7688910969794
Google,2020,14.82,13.27,2978576101,1823907888,1.117,224.473,159.5365,2364847,80,67,1939.4,North America,24,10.474485228290062,1.5500000000000007,13,159571.32253711202,1535823.5026296792,1535.8235026296793
Google,2021,17.28,15.59,3532336605,2217372936,1.108,226.629,114.4107,1976527,90,76,2243.2,North America,27,9.747292418772572,1.6900000000000013,14,114382.34953703704,1574686.432328816,1574.686432328816
Google,2022,18.96,17.11,3628449725,2097914642,1.108,212.06,101.5158,1924374,100,82,2661.5,Europe,30,9.747292418772572,1.8500000000000014,18,101496.51898734177,1363310.0601164757,1363.3100601164756
Google,2023,21.41,19.48,4530551363,2791633349,1.099,232.565,85.7808,1836731,100,85,2980.4,North America,33,9.008189262966331,1.9299999999999997,15,85788.46333489024,1520115.207019192,1520.1152070191922
Google,2024,24.73,22.32,5330028201,3877289298,1.108,238.816,64.3992,1592703,100,90,3534.9,Europe,36,9.747292418772572,2.41,10,64403.679741205015,1507829.9813290334,1507.8299813290334
Microsoft,2015,5.56,4.5,2495521745,1633435188,1.235,554.519,726.276,4037826,30,25,196.0,North America,20,19.028340080971667,1.0599999999999996,5,726227.6978417267,12732253.801020408,12732.253801020408
Microsoft,2016,6.37,5.26,2832017693,1735662071,1.21,537.982,587.353,3740470,40,32,250.2,North America,24,17.355371900826444,1.1100000000000003,8,587200.9419152276,11319015.559552358,11319.01555955236
Microsoft,2017,7.73,6.48,3172595901,2334838738,1.193,489.54,434.817,3360669,50,40,320.3,Asia-Pacific,30,16.177703269069575,1.25,10,434756.66235446313,9905076.181704652,9905.076181704653
Microsoft,2018,8.88,7.52,3899764451,2841024419,1.181,518.625,386.8877,3436807,60,48,394.1,Asia-Pacific,36,15.3259949195597,1.3600000000000012,12,387027.81531531527,9895367.802588174,9895.367802588176
Microsoft,2019,9.75,8.32,4286790674,3059066484,1.172,515.482,298.9025,2913933,70,53,423.5,North America,42,14.675767918088734,1.4299999999999997,17,298864.92307692306,10122292.028335301,10122.292028335301
Microsoft,2020,11.67,10.05,4826684700,3564902153,1.161,480.127,254.0905,2965648,80,60,548.6,Europe,50,13.867355727820845,1.6199999999999992,20,254125.79263067694,8798185.745534087,8798.185745534087
Microsoft,2021,13.5,11.72,5227872612,3173151900,1.153,446.217,206.6384,2790387,100,68,766.8,Europe,58,13.269731136166524,1.7799999999999994,32,206695.33333333334,6817778.575899844,6817.778575899844
Microsoft,2022,15.34,13.45,6750314942,3908290422,1.14,501.704,175.3142,2689753,100,72,953.3,North America,60,12.280701754385957,1.8900000000000006,28,175342.43807040417,7080997.526486941,7080.99752648694
Microsoft,2023,18.65,16.38,7950030258,4957294048,1.139,485.383,130.2608,2429295,100,78,1275.8,Europe,65,12.203687445127304,2.2699999999999996,22,130257.10455764076,6231407.946386581,6231.407946386581
Microsoft,2024,21.79,19.63,8545670060,4769808714,1.11,435.361,117.4136,2558437,100,83,1555.2,North America,70,9.909909909909919,2.16,17,117413.35474988527,5494901.015946502,5494.901015946502
Meta,2015,2.38,1.91,1136261777,781961206,1.251,596.177,641.1945,1528416,25,20,51.6,North America,6,20.06394884092725,0.47,5,642191.5966386555,22020577.07364341,22020.577073643413
Meta,2016,2.99,2.44,1393198045,1023915193,1.226,571.883,460.5883,1375094,35,28,69.4,Europe,7,18.433931484502445,0.5500000000000003,7,459897.65886287624,20074899.78386167,20074.89978386167
Meta,2017,3.62,2.95,1536584421,873733484,1.23,521.33,360.576,1306931,51,43,84.6,North America,8,18.69918699186992,0.6699999999999999,8,361030.6629834254,18162936.418439716,18162.936418439716
Meta,2018,4.47,3.71,2000915719,1455500680,1.205,538.974,276.32,1236344,75,58,130.5,North America,10,17.01244813278009,0.7599999999999998,17,276587.0246085011,15332687.501915708,15332.687501915709
Meta,2019,5.23,4.45,2543572640,1730627116,1.176,572.077,218.6304,1143345,86,65,172.2,North America,12,14.965986394557817,0.7800000000000002,21,218612.81070745696,14771037.398373984,14771.037398373985
Meta,2020,6.04,5.13,2632657968,1790014128,1.178,513.339,175.6263,1061251,100,75,234.7,Europe,15,15.110356536502541,0.9100000000000001,25,175703.80794701987,11217119.590967193,11217.119590967191
Meta,2021,7.41,6.49,3095387441,2304832023,1.142,477.242,126.6957,938816,100,80,316.0,Europe,18,12.434325744308223,0.9199999999999999,20,126695.81646423752,9795529.876582278,9795.529876582279
Meta,2022,8.89,7.85,4100380373,2728314278,1.133,522.584,95.7746,851777,100,86,407.9,Europe,20,11.738746690203001,1.040000000000001,14,95812.93588301462,10052415.721990684,10052.415721990685
Meta,2023,10.4,9.28,4460233134,2466916247,1.121,480.779,82.9805,863345,100,90,548.2,Asia-Pacific,22,10.793933987511151,1.120000000000001,10,83013.9423076923,8136142.1634439975,8136.142163443999
Meta,2024,13.19,12.08,4919402533,3543088173,1.092,407.228,57.0077,751701,100,94,725.6,Europe,24,8.424908424908432,1.1099999999999994,6,56990.219863532984,6779771.958379272,6779.771958379272
AWS,2015,8.04,6.17,2867421385,1929778736,1.304,464.922,650.6166,5231975,25,18,526.4,Europe,30,23.312883435582826,1.8699999999999992,7,650743.1592039801,5447229.074848024,5447.229074848024
AWS,2016,9.45,7.31,3663361557,2278238069,1.294,501.451,547.1162,5172735,30,22,591.6,Asia-Pacific,35,22.720247295208658,2.1399999999999997,8,547379.3650793651,6192294.721095335,6192.294721095335
AWS,2017,11.31,8.67,4152028541,2866532999,1.305,479.096,442.9192,5010000,40,30,752.8,North America,42,23.37164750957854,2.6400000000000006,10,442970.8222811671,5515447.052337939,5515.447052337939
AWS,2018,13.21,10.64,4627240618,3080150611,1.242,435.024,347.6182,4593333,50,38,883.7,Europe,50,19.484702093397747,2.5700000000000003,12,347716.3512490537,5236212.083286183,5236.212083286184
AWS,2019,15.83,13.0,5303743318,3051838094,1.217,407.829,291.1632,4608981,65,45,1194.1,North America,60,17.830731306491376,2.83,20,291154.8325963361,4441624.0834101,4441.624083410099
AWS,2020,18.37,15.19,6369220522,3568905743,1.209,419.248,252.8277,4645113,76,50,1475.9,Europe,70,17.287014061207614,3.1800000000000015,26,252864.07185628742,4315482.43241412,4315.48243241412
