company,year,electricity_gwh,it_load_gwh,water_litres,water_consumed_litres,pue,wue,cue,co2_tons,renewable_pledged_pct,renewable_actual_pct,queries_million,region,facility_count
Google,2015,7.81,6.99,1858291968,1080046220,1.119,266.0,393.701,3076671,37,34,811.2,Europe,15
Google,2016,9.04,8.13,2070690052,1214180159,1.113,254.845,294.5228,2663697,44,40,900.4,Europe,17
Google,2017,9.49,8.55,2143575418,1304213297,1.11,250.733,273.4351,2594650,56,50,1074.7,Europe,19
Google,2018,10.68,9.58,2348720224,1570079339,1.114,245.09,226.7284,2420469,67,58,1280.6,North America,21
Google,2019,12.77,11.52,2747123118,1577968526,1.108,238.386,190.4309,2431927,73,61,1509.6,Asia-Pacific,23
Google,2020,14.82,13.27,2978576101,1823907888,1.117,224.473,159.5365,2364847,80,67,1939.4,North America,24
Google,2021,17.28,15.59,3532336605,2217372936,1.108,226.629,114.4107,1976527,90,76,2243.2,North America,27
Google,2022,18.96,17.11,3628449725,2097914642,1.108,212.06,101.5158,1924374,100,82,2661.5,Europe,30
Google,2023,21.41,19.48,4530551363,2791633349,1.099,232.565,85.7808,1836731,100,85,2980.4,North America,33
Google,2024,24.73,22.32,5330028201,3877289298,1.108,238.816,64.3992,1592703,100,90,3534.9,Europe,36
Microsoft,2015,5.56,4.5,2495521745,1633435188,1.235,554.519,726.276,4037826,30,25,196.0,North America,20
Microsoft,2016,6.37,5.26,2832017693,1735662071,1.21,537.982,587.353,3740470,40,32,250.2,North America,24
Microsoft,2017,7.73,6.48,3172595901,2334838738,1.193,489.54,434.817,3360669,50,40,320.3,Asia-Pacific,30
Microsoft,2018,8.88,7.52,3899764451,2841024419,1.181,518.625,386.8877,3436807,60,48,394.1,Asia-Pacific,36
Microsoft,2019,9.75,8.32,4286790674,3059066484,1.172,515.482,298.9025,2913933,70,53,423.5,North America,42
Microsoft,2020,11.67,10.05,4826684700,3564902153,1.161,480.127,254.0905,2965648,80,60,548.6,Europe,50
Microsoft,2021,13.5,11.72,5227872612,3173151900,1.153,446.217,206.6384,2790387,100,68,766.8,Europe,58
Microsoft,2022,15.34,13.45,6750314942,3908290422,1.14,501.704,175.3142,2689753,100,72,953.3,North America,60
Microsoft,2023,18.65,16.38,7950030258,4957294048,1.139,485.383,130.2608,2429295,100,78,1275.8,Europe,65
Microsoft,2024,21.79,19.63,8545670060,4769808714,1.11,435.361,117.4136,2558437,100,83,1555.2,North America,70
Meta,2015,2.38,1.91,1136261777,781961206,1.251,596.177,641.1945,1528416,25,20,51.6,North America,6
Meta,2016,2.99,2.44,1393198045,1023915193,1.226,571.883,460.5883,1375094,35,28,69.4,Europe,7
Meta,2017,3.62,2.95,1536584421,873733484,1.23,521.33,360.576,1306931,51,43,84.6,North America,8
Meta,2018,4.47,3.71,2000915719,1455500680,1.205,538.974,276.32,1236344,75,58,130.5,North America,10
Meta,2019,5.23,4.45,2543572640,1730627116,1.176,572.077,218.6304,1143345,86,65,172.2,North America,12
Meta,2020,6.04,5.13,2632657968,1790014128,1.178,513.339,175.6263,1061251,100,75,234.7,Europe,15
Meta,2021,7.41,6.49,3095387441,2304832023,1.142,477.242,126.6957,938816,100,80,316.0,Europe,18
Meta,2022,8.89,7.85,4100380373,2728314278,1.133,522.584,95.7746,851777,100,86,407.9,Europe,20
Meta,2023,10.4,9.28,4460233134,2466916247,1.121,480.779,82.9805,863345,100,90,548.2,Asia-Pacific,22
Meta,2024,13.19,12.08,4919402533,3543088173,1.092,407.228,57.0077,751701,100,94,725.6,Europe,24
AWS,2015,8.04,6.17,2867421385,1929778736,1.304,464.922,650.6166,5231975,25,18,526.4,Europe,30
AWS,2016,9.45,7.31,3663361557,2278238069,1.294,501.451,547.1162,5172735,30,22,591.6,Asia-Pacific,35
AWS,2017,11.31,8.67,4152028541,2866532999,1.305,479.096,442.9192,5010000,40,30,752.8,North America,42
AWS,2018,13.21,10.64,4627240618,3080150611,1.242,435.024,347.6182,4593333,50,38,883.7,Europe,50
AWS,2019,15.83,13.0,5303743318,3051838094,1.217,407.829,291.1632,4608981,65,45,1194.1,North America,60
AWS,2020,18.37,15.19,6369220522,3568905743,1.209,419.248,252.8277,4645113,76,50,1475.9,Europe,70
AWS,2021,20.28,16.88,7067332852,4507504497,1.202,418.745,207.5061,4209128,85,56,1585.0,North America,80
AWS,2022,26.75,22.7,8201691408,5411847798,1.179,361.308,151.5777,4055291,100,62,2138.7,North America,84
AWS,2023,31.99,27.18,9088075908,5645463094,1.177,334.422,115.008,3678567,100,68,2424.7,North America,90
AWS,2024,37.48,33.53,10824527845,6328456007,1.118,322.799,88.4239,3313808,100,75,2799.1,Europe,100
All,2015,400000.0,253164.56,1680000000000,1120000000000,1.578,1.803,0.4572,168000,20,15,5000.0,Global,8000
All,2016,415000.0,262658.23,1743000000000,1162000000000,1.563,1.803,0.4421,174300,24,18,6500.0,Global,8500
All,2017,430000.0,272151.9,1806000000000,1204000000000,1.555,1.769,0.435,180600,29,21,8450.0,Global,9000
All,2018,450000.0,284810.13,1890000000000,1260000000000,1.547,1.741,0.4241,189000,34,25,10985.0,Global,9500
All,2019,475000.0,300632.91,1995000000000,1330000000000,1.541,1.733,0.4259,199500,38,28,14280.5,Global,10000
All,2020,500000.0,316455.7,2100000000000,1400000000000,1.524,1.743,0.4002,210000,42,31,18564.7,Global,10500
All,2021,540000.0,341772.15,2268000000000,1512000000000,1.519,1.692,0.4034,226800,47,34,24134.0,Global,11000
All,2022,600000.0,379746.84,2520000000000,1680000000000,1.507,1.656,0.3915,252000,52,37,31374.3,Global,11500
All,2023,700000.0,443037.97,2940000000000,1960000000000,1.497,1.657,0.3878,294000,56,41,40786.5,Global,12000
All,2024,850000.0,537974.68,3570000000000,2380000000000,1.487,1.638,0.3795,357000,60,44,53022.5,Global,12500
