company,year,electricity_gwh,it_load_gwh,water_litres,water_consumed_litres,pue,wue,cue,co2_tons,renewable_pledged_pct,renewable_actual_pct,queries_million,region,facility_count,energy_waste_pct,energy_wasted_gwh,renewable_gap_pct,co2_per_gwh,water_per_million_queries,water_per_query_ml,total_capacity_mw,avg_stress_score,max_stress_score,high_stress_count,location_count,pue_tier,renewable_status,energy_waste_tier,water_billion_litres,electricity_twh,co2_million_tonnes
Google,2015,7.81,6.99,1858291968,1080046220,1.119,266.0,393.701,3076671,37,34,811.2,Europe,15,10.634495084897228,0.8199999999999994,3,393939.9487836108,2290793.846153846,2290.793846153846,1430.0,2.1875,4.2,2.0,8.0,Excellent,On Track,Excellent,1.858291968,0.007809999999999999,3.076671
Google,2016,9.04,8.13,2070690052,1214180159,1.113,254.845,294.5228,2663697,44,40,900.4,Europe,17,10.152740341419586,0.9099999999999984,4,294656.7477876106,2299744.615726344,2299.744615726344,1430.0,2.1875,4.2,2.0,8.0,Excellent,On Track,Excellent,2.070690052,0.00904,2.663697
Google,2017,9.49,8.55,2143575418,1304213297,1.11,250.733,273.4351,2594650,56,50,1074.7,Europe,19,9.90990990990992,0.9399999999999996,6,273408.85142255004,1994580.2717037315,1994.5802717037316,1430.0,2.1875,4.2,2.0,8.0,Excellent,On Track,Excellent,2.143575418,0.00949,2.59465
Google,2018,10.68,9.58,2348720224,1570079339,1.114,245.09,226.7284,2420469,67,58,1280.6,North America,21,10.23339317773789,1.0999999999999996,9,226635.67415730335,1834077.9509604876,1834.0779509604872,1430.0,2.1875,4.2,2.0,8.0,Excellent,On Track,Excellent,2.348720224,0.01068,2.420469
Google,2019,12.77,11.52,2747123118,1577968526,1.108,238.386,190.4309,2431927,73,61,1509.6,Asia-Pacific,23,9.747292418772572,1.25,12,190440.64212999216,1819768.8910969796,1819.7688910969796,1430.0,2.1875,4.2,2.0,8.0,Excellent,Moderate Gap,Excellent,2.747123118,0.01277,2.431927
Google,2020,14.82,13.27,2978576101,1823907888,1.117,224.473,159.5365,2364847,80,67,1939.4,North America,24,10.474485228290062,1.5500000000000007,13,159571.32253711202,1535823.5026296792,1535.8235026296793,1430.0,2.1875,4.2,2.0,8.0,Excellent,Moderate Gap,Excellent,2.978576101,0.01482,2.364847
Google,2021,17.28,15.59,3532336605,2217372936,1.108,226.629,114.4107,1976527,90,76,2243.2,North America,27,9.747292418772572,1.6900000000000013,14,114382.34953703704,1574686.432328816,1574.686432328816,1430.0,2.1875,4.2,2.0,8.0,Excellent,Moderate Gap,Excellent,3.532336605,0.01728,1.976527
Google,2022,18.96,17.11,3628449725,2097914642,1.108,212.06,101.5158,1924374,100,82,2661.5,Europe,30,9.747292418772572,1.8500000000000012,18,101496.51898734175,1363310.0601164757,1363.3100601164756,1430.0,2.1875,4.2,2.0,8.0,Excellent,Moderate Gap,Excellent,3.628449725,0.01896,1.924374
Google,2023,21.41,19.48,4530551363,2791633349,1.099,232.565,85.7808,1836731,100,85,2980.4,North America,33,9.008189262966331,1.93,15,85788.46333489024,1520115.207019192,1520.1152070191922,1430.0,2.1875,4.2,2.0,8.0,Excellent,Moderate Gap,Excellent,4.530551363,0.02141,1.836731
Google,2024,24.73,22.32,5330028201,3877289298,1.108,238.816,64.3992,1592703,100,90,3534.9,Europe,36,9.747292418772572,2.41,10,64403.679741205015,1507829.9813290334,1507.8299813290334,1430.0,2.1875,4.2,2.0,8.0,Excellent,On Track,Excellent,5.330028201,0.024730000000000002,1.592703
